DISTRICT_NAME,Crop_Year,Area,Production,K,N,P,temperature,humidity,ph,rainfall,season
BAGALKOT,2002,15,16,23,37,40,24.8972823,80.52586088,6.13428721,183.6793207,Rabi
BAGALKOT,2003,2,7,51,34,15,24.958779,84.47963372,5.206373153,196.9560008,Rabi
BELGAUM,2014,59938,176688,56,38,6,32.14007757,61.79457539,6.115654953,475.6223352,Kharif
BELGAUM,2014,59938,176688,48,42,10,31.80134718,84.94473134,6.033842493,485.3604066,Kharif
BELGAUM,2011,68215,158758,56,33,11,33.31321927,67.28769377,7.456801322,397.6218704,Kharif
BELGAUM,2011,68215,158758,50,31,19,34.87642755,71.10974584,6.488288977,307.6601924,Kharif
BELGAUM,2005,66671,145500,50,43,7,26.43377694,76.34020091,6.601684242,221.1193143,Kharif
BELGAUM,2005,66671,145500,53,36,11,30.35321086,71.23531449,6.428149057,211.1691428,Kharif
BELGAUM,2010,68354,139200,58,33,9,26.21826274,71.83865428,7.48953239,314.7533302,Kharif
BELGAUM,2010,68354,139200,43,41,16,30.7284167,87.79182883,6.028154669,345.4121369,Kharif
BELGAUM,2013,58597,123581,60,30,10,29.74528021,76.87425861,7.424566842,313.1728046,Kharif
BELGAUM,2013,58597,123581,58,36,6,31.06117708,74.81352176,7.066618154,239.74586,Kharif
BELGAUM,1999,63427,119657,45,42,13,32.90374028,63.6814678,6.710908591,206.3787957,Kharif
BELGAUM,1999,63427,119657,43,44,13,30.07757085,63.47280868,7.085346393,347.8971108,Kharif
BELGAUM,1999,63427,119657,44,40,16,31.36874988,83.1759622,6.105782713,401.0808744,Kharif
BELGAUM,2004,71198,114984.77,54,34,12,29.17391399,75.04820604,6.198535738,281.7955273,Kharif
BELGAUM,2004,71198,114984.77,42,51,7,34.40569122,62.65700424,6.734494567,457.9506151,Kharif
BELGAUM,1998,62701,114050,58,32,10,34.40569122,62.65700424,6.734494567,457.9506151,Kharif
BELGAUM,2000,63810,105237,50,44,6,26.87371969,64.7242487,6.978896898,180.0294854,Kharif
BELGAUM,2000,63810,105237,60,34,6,31.29205168,61.72565827,6.841945636,221.7316692,Kharif
BELGAUM,2000,63810,105237,40,37,23,26.1558708,88.22094755,6.35336305,106.6293995,Kharif
BELGAUM,2007,69259,100026,40,41,19,26.08981963,63.81127494,7.333591295,116.7474061,Kharif
BELGAUM,2007,69259,100026,48,47,5,26.4096802,89.19453931,7.187390752,464.6650413,Kharif
BELGAUM,2006,66922,98851,58,35,7,32.3357081,69.39607135,7.334984118,252.6482237,Kharif
BELGAUM,2006,66922,98851,55,37,8,29.77137596,79.26939011,7.257715052,212.7256475,Kharif
BELGAUM,2012,63613,94818,53,34,13,33.42558276,79.14731893,7.000012153,256.8074359,Kharif
BELGAUM,2012,63613,94818,54,36,10,33.04390637,73.81429516,6.450004724,387.8580587,Kharif
BELGAUM,2008,71079,93184.57,52,31,17,27.55666641,86.97230102,6.532585895,324.5714499,Kharif
BELGAUM,2008,71079,93184.57,60,31,9,26.75346808,70.66481497,6.218132301,176.6644933,Kharif
BELGAUM,1997,63734,91677,48,47,5,30.29395685,79.59438553,6.678922949,251.89258,Kharif
BELGAUM,2009,71730,83816.51,53,39,8,34.42330984,79.88119416,7.100006065,323.2504123,Kharif
BELGAUM,2009,71730,83816.51,57,36,7,31.79865542,72.51823502,6.501149643,396.8834703,Kharif
BELGAUM,2001,63662,56350,49,40,11,31.71650354,72.87167767,6.271675241,446.4680988,Kharif
BELGAUM,2001,63662,56350,54,32,14,25.90562119,64.89941304,7.175435089,379.7513357,Kharif
BELGAUM,2001,63662,56350,56,31,13,33.51207335,69.49164523,6.042084226,217.7482771,Kharif
BELGAUM,2003,68016,48851,40,39,21,28.42910047,89.93214086,6.254578109,321.4873693,Kharif
BELGAUM,2003,68016,48851,52,38,10,27.74721654,65.00258933,6.168399842,396.2873712,Kharif
BELGAUM,2002,65854,37874,60,35,5,32.295482,79.39745197,6.672312205,115.4918529,Kharif
BELGAUM,2002,65854,37874,56,35,9,33.04390637,73.81429516,6.450004724,387.8580587,Kharif
BELGAUM,2002,65854,37874,45,32,23,33.21527757,69.03643599,7.29309393,394.5436277,Kharif
BELGAUM,2004,143,635,40,51,9,26.29465461,84.56919326,7.023936392,257.4914906,Rabi
BELGAUM,2007,165,495,60,33,7,24.88921174,81.97927117,5.005306977,185.9461429,Rabi
BELGAUM,2005,157,484,53,42,5,22.2286982,81.85872947,6.939083505,278.0791793,Rabi
BELGAUM,2008,160,483,50,39,11,26.88444878,81.46033732,6.136131869,194.5766559,Rabi
BELGAUM,2009,158,483,58,31,11,22.67846116,83.72874389,7.524080076,200.9133156,Rabi
BELGAUM,2003,111,430,57,36,7,21.32376327,83.00320459,7.283736617,192.3197536,Rabi
BELGAUM,2002,151,405,47,30,23,24.87300744,82.84022551,6.587918708,295.6094492,Rabi
BELGAUM,2006,140,403,40,51,9,26.73072391,81.78596776,7.868474653,280.4044392,Rabi
BELGAUM,2010,115,372,58,30,12,26.08867875,80.37979919,5.706943251,182.9043504,Rabi
BELGAUM,2011,92,313,43,48,9,25.42977518,82.94682591,5.758506323,195.3574542,Rabi
BELGAUM,2012,82,260,58,36,6,26.40323239,81.05635517,6.349606327,223.3671883,Rabi
BELGAUM,2013,77,260,49,38,13,26.04371967,84.96907151,5.999969026,186.7536773,Rabi
BELGAUM,2001,77,197,59,34,7,22.72791041,82.1706881,7.300410836,260.8875056,Rabi
BELGAUM,1997,40,114,42,37,21,23.64124821,80.28597873,5.012139669,263.1103304,Rabi
BELGAUM,1998,30,97,59,31,10,23.43191632,80.56887849,6.363472208,269.5039162,Rabi
BELGAUM,1999,23,32,45,33,22,24.97669518,83.891805,6.880431223,204.8001847,Rabi
BELGAUM,1999,63427,119657,56,37,7,28.39729473,61.18990041,6.00203635,265.9823439,Summer
BELGAUM,1998,62701,114050,42,40,18,32.19600968,62.71456012,6.908156246,167.3449231,Summer
BELGAUM,2000,63810,105237,47,33,20,26.89849874,89.61528749,7.335634991,356.2276716,Summer
BELGAUM,1997,63734,91677,59,32,9,27.49776247,82.69324477,6.474935935,381.5830252,Summer
BELGAUM,2001,63662,56350,50,34,16,32.24958432,86.82016988,6.107954499,493.4856757,Summer
BELGAUM,2002,65854,37874,44,30,26,27.49776247,82.69324477,6.474935935,381.5830252,Summer
BELLARY,2010,88799,339376,45,45,10,34.76543676,61.84473447,7.453369068,337.9866585,Kharif
BELLARY,2010,88799,339376,50,45,5,33.3684912,82.78229534,6.159021818,489.3000484,Kharif
BELLARY,2010,88799,339376,46,42,12,25.41930292,84.8639812,7.05745886,209.1782755,Kharif
BELLARY,2010,88799,339376,49,42,9,26.18344455,66.81457432,6.498868219,416.1247321,Kharif
BELLARY,2013,76010,290788,51,43,6,28.21381551,78.34658479,6.450182674,441.5698008,Kharif
BELLARY,2013,76010,290788,56,36,8,31.20534605,64.8811086,7.308950836,200.4011655,Kharif
BELLARY,2012,78029,289394,54,37,9,33.18004332,86.63595925,7.244841275,482.1499895,Kharif
BELLARY,2012,78029,289394,59,34,7,27.36445275,86.48696579,6.496640538,414.0014619,Kharif
BELLARY,2011,77226,288837,52,38,10,32.41066224,65.34480942,7.452087462,378.473842,Kharif
BELLARY,2011,77226,288837,58,35,7,26.14536714,69.5265516,6.049057544,287.5748914,Kharif
BELLARY,2014,77598,286690,49,41,10,26.79365565,65.33866429,7.33242165,474.1375573,Kharif
BELLARY,2014,77598,286690,57,35,8,31.79865542,72.51823502,6.501149643,396.8834703,Kharif
BELLARY,2007,76597,283719,50,34,16,32.90856545,74.5925629,7.165719471,478.2988377,Kharif
BELLARY,2007,76597,283719,41,44,15,31.36874988,83.1759622,6.105782713,401.0808744,Kharif
BELLARY,2007,76597,283719,56,30,14,34.87642755,71.10974584,6.488288977,307.6601924,Kharif
BELLARY,2007,76597,283719,46,37,17,27.36398921,77.83530969,6.704963338,423.5757588,Kharif
BELLARY,2008,77958,283650.18,47,48,5,29.87822078,76.30600724,6.394525396,178.3441443,Kharif
BELLARY,2008,77958,283650.18,47,34,19,28.77056642,62.53944403,7.404731341,283.8734747,Kharif
BELLARY,2008,77958,283650.18,58,36,6,26.14536714,69.5265516,6.049057544,287.5748914,Kharif
BELLARY,2008,77958,283650.18,53,39,8,30.7284167,87.79182883,6.028154669,345.4121369,Kharif
BELLARY,2009,80447,248380.11,60,31,9,26.75218223,80.14930262,6.571628966,382.208031,Kharif
BELLARY,2009,80447,248380.11,50,45,5,32.295482,79.39745197,6.672312205,115.4918529,Kharif
BELLARY,2009,80447,248380.11,57,30,13,26.65616579,73.10556327,7.238600554,303.5331364,Kharif
BELLARY,2009,80447,248380.11,55,38,7,26.1911459,67.96259246,7.372010954,100.0628893,Kharif
BELLARY,2002,64289,215581,48,32,20,26.49027109,82.20760652,7.267428494,491.2970482,Kharif
BELLARY,2002,64289,215581,57,34,9,33.59661319,63.08016471,6.516362802,424.1140483,Kharif
BELLARY,2002,64289,215581,45,36,19,33.98833444,69.44004113,7.193947575,328.4653455,Kharif
BELLARY,2006,66354,204553,45,44,11,33.3684912,82.78229534,6.159021818,489.3000484,Kharif
BELLARY,2006,66354,204553,54,34,12,27.36398921,77.83530969,6.704963338,423.5757588,Kharif
BELLARY,2006,66354,204553,57,38,5,30.05869479,77.99424226,6.237914595,468.488471,Kharif
BELLARY,2006,66354,204553,55,33,12,29.20486113,70.96287787,7.154018336,220.2670649,Kharif
BELLARY,2003,49995,190076,43,48,9,28.99144874,89.89030152,7.378738998,201.9139374,Kharif
BELLARY,2003,49995,190076,58,31,11,34.96942119,70.02387277,6.203495702,462.3173355,Kharif
BELLARY,2005,61783,188994,60,30,10,32.42150233,80.04324721,6.193642811,430.3865791,Kharif
BELLARY,2005,61783,188994,42,41,17,34.37027057,81.91672224,6.844353565,298.9065169,Kharif
BELLARY,2005,61783,188994,60,31,9,29.21063014,73.69450202,6.387730386,189.3312981,Kharif
BELLARY,2005,61783,188994,54,31,15,30.14329992,78.08347139,6.743989647,266.0094855,Kharif
BELLARY,2004,51935,178111.08,42,46,12,25.01810339,75.7632594,7.300813947,497.2682921,Kharif
BELLARY,2004,51935,178111.08,42,46,12,32.90374028,63.6814678,6.710908591,206.3787957,Kharif
BELLARY,2001,54582,175813,59,31,10,30.95535188,61.05467115,6.987306942,437.9007871,Kharif
BELLARY,2001,54582,175813,59,31,10,25.63294992,88.91331106,6.799541553,426.7772474,Kharif
BELLARY,2001,54582,175813,43,42,15,25.89432311,86.92987617,6.10469143,333.091223,Kharif
BELLARY,2000,52654,172729,51,34,15,34.37027057,81.91672224,6.844353565,298.9065169,Kharif
BELLARY,2000,52654,172729,41,43,16,33.49097245,87.06963425,7.016058994,105.3834271,Kharif
BELLARY,2000,52654,172729,50,40,10,30.35321086,71.23531449,6.428149057,211.1691428,Kharif
BELLARY,1999,47915,162081,59,32,9,31.79865542,72.51823502,6.501149643,396.8834703,Kharif
BELLARY,1999,47915,162081,51,35,14,26.18344455,66.81457432,6.498868219,416.1247321,Kharif
BELLARY,1999,47915,162081,40,46,14,26.79365565,65.33866429,7.33242165,474.1375573,Kharif
BELLARY,1998,39395,124945,51,36,13,31.80134718,84.94473134,6.033842493,485.3604066,Kharif
BELLARY,1997,34112,96733,44,51,5,26.25290547,79.07342253,6.253447029,448.0726529,Kharif
BELLARY,2008,44613,157154,59,34,7,22.68319059,83.46358271,6.604993475,194.2651719,Rabi
BELLARY,2010,41745,145941,49,44,7,21.40865769,83.3293191,5.935745417,287.5766935,Rabi
BELLARY,2011,38943,139548,59,35,6,26.54348085,84.67353597,7.072655622,183.6222657,Rabi
BELLARY,2005,40538,138524,40,41,19,26.52872817,80.12267476,6.158376967,218.9163567,Rabi
BELLARY,2009,39921,132661,43,36,21,21.53346343,82.14004101,6.500343222,295.9248796,Rabi
BELLARY,2007,40890,131492,43,43,14,22.69657794,82.81088865,6.028321558,256.9964761,Rabi
BELLARY,2006,36575,129221,44,49,7,26.46428311,83.85642678,7.549873681,248.2256491,Rabi
BELLARY,2000,31393,100892,45,33,22,25.48591986,81.40633547,5.935344406,182.6549356,Rabi
BELLARY,1998,29459,99742,46,49,5,22.08576562,83.47038318,6.372576327,231.7364957,Rabi
BELLARY,2012,31119,98386,46,40,14,23.35905428,83.59512273,5.333322606,188.413665,Rabi
BELLARY,1999,31432,94717,51,35,14,23.28617173,81.43321641,5.105588355,242.3170629,Rabi
BELLARY,2001,29231,78310,52,33,15,23.67575393,81.03569343,5.17782304,233.7034975,Rabi
BELLARY,2004,14592,68619,43,30,27,23.83509503,83.88387074,7.473134377,241.2013513,Rabi
BELLARY,1997,23573,65571,48,42,10,25.2827223,80.54372813,5.453592032,220.1156708,Rabi
BELLARY,2003,5971,27818,55,37,8,26.92995077,81.91411159,7.069172227,290.6793783,Rabi
BELLARY,2002,7011,17597,53,37,10,20.82477109,84.1341879,6.462391607,230.2242223,Rabi
BELLARY,2006,2993,14299,56,38,6,24.28209415,80.30025587,7.042299069,231.0863347,Rabi
BELLARY,2005,490,1871,58,36,6,25.66585205,80.66385045,6.94801983,209.5869708,Rabi
BELLARY,2007,367,1414,47,44,9,21.58711777,82.7883708,6.249050656,276.6552459,Rabi
BELLARY,2004,280,944,45,50,5,24.01497622,82.05687182,6.98435366,185.2773389,Rabi
BELLARY,2008,150,700,53,41,6,23.79391957,80.41817957,6.970859754,206.2611855,Rabi
BELLARY,2010,135,602,56,33,11,23.57943626,83.58760316,5.85393208,291.2986618,Rabi
BELLARY,2009,46,185,48,40,12,21.8652524,80.1923008,5.953933276,224.5550169,Rabi
BELLARY,2014,40,99,40,33,27,21.32504158,80.47476396,6.442475375,185.4974732,Rabi
BELLARY,2002,64289,215581,51,43,6,29.39588063,82.98775313,6.040513408,111.2091179,Summer
BELLARY,2001,54582,175813,55,34,11,27.29919935,73.34483608,6.368886479,103.5132064,Summer
BELLARY,2000,52654,172729,45,43,12,26.12528285,72.79891254,7.360540349,284.4375907,Summer
BELLARY,1999,47915,162081,51,38,11,26.47245934,64.49304939,7.174923324,440.4711397,Summer
BELLARY,2013,34538,127832,49,35,16,26.4267485,77.90106475,6.867700269,379.4134802,Summer
BELLARY,1998,39395,124945,50,36,14,27.05662927,73.46022536,6.075403424,451.9877823,Summer
BELLARY,2014,41005,121344,44,50,6,28.69823892,67.03409316,6.607050702,236.0754167,Summer
BELLARY,1997,34112,96733,59,35,6,29.39588063,82.98775313,6.040513408,111.2091179,Summer
BENGALURU,2004,2778,8577.08,40,39,21,26.87371969,64.7242487,6.978896898,180.0294854,Kharif
BENGALURU,2005,2496,6528,52,36,12,25.89432311,86.92987617,6.10469143,333.091223,Kharif
BENGALURU,2008,1652,5022.08,57,37,6,31.18756135,89.22191226,6.106904202,444.656833,Kharif
BENGALURU,2011,1410,4853,56,32,12,26.65616579,73.10556327,7.238600554,303.5331364,Kharif
BENGALURU,2007,1523,4752,51,40,9,28.62033744,88.3526497,6.052091538,143.8429575,Kharif
BENGALURU,2003,2213,4667,57,31,12,28.77056642,62.53944403,7.404731341,283.8734747,Kharif
BENGALURU,2009,1594,4361.18,40,30,30,34.37027057,81.91672224,6.844353565,298.9065169,Kharif
BENGALURU,2010,1495,4258,58,33,9,26.1911459,67.96259246,7.372010954,100.0628893,Kharif
BENGALURU,2013,1113,3941,58,30,12,26.75346808,70.66481497,6.218132301,176.6644933,Kharif
BENGALURU,2006,1315,3537,52,30,18,26.36779376,64.69908132,6.506086861,435.8969918,Kharif
BENGALURU,2014,950,3374,53,35,12,34.37027057,81.91672224,6.844353565,298.9065169,Kharif
BENGALURU,2012,974,3006,47,44,9,27.39191807,63.3546224,6.113941671,117.3776301,Kharif
BENGALURU,1998,5124,14255,57,32,11,33.24668559,66.37283908,7.237451683,478.4403697,Summer
BENGALURU,2000,4483,12073,58,37,5,34.2913179,74.81842607,7.326344102,452.8532039,Summer
BENGALURU,1997,3507,11033,40,33,27,32.26625167,88.50926688,6.241527953,213.4265336,Summer
BENGALURU,1999,4551,10649,60,31,9,25.13447738,89.26752796,6.537262471,373.8070834,Summer
BENGALURU,2001,3753,7313,41,42,17,31.64479445,62.26799726,7.032514744,186.3280721,Summer
BENGALURU,2002,2393,4836,40,38,22,32.26625167,88.50926688,6.241527953,213.4265336,Summer
BENGALURU,1998,14305,39567,57,30,13,28.77056642,62.53944403,7.404731341,283.8734747,Kharif
BENGALURU,2000,14828,37089,55,30,15,28.73831522,84.12967395,7.135497412,277.045029,Kharif
BENGALURU,1999,11541,32410,52,30,18,29.69159806,79.06113396,6.816849844,220.1394353,Kharif
BENGALURU,2001,11067,28322,45,42,13,34.1004399,82.57792734,7.370074703,106.7003649,Kharif
BENGALURU,1997,11240,26256,54,39,7,34.96942119,70.02387277,6.203495702,462.3173355,Kharif
BENGALURU,2004,8568,23767.63,56,33,11,27.18634432,72.9908154,7.317125261,127.5875102,Kharif
BENGALURU,2004,8568,23767.63,56,38,6,30.29395685,79.59438553,6.678922949,251.89258,Kharif
BENGALURU,2005,9729,22181,60,31,9,29.33693538,69.18582829,7.446733102,192.1415987,Kharif
BENGALURU,2005,9729,22181,51,40,9,31.79865542,72.51823502,6.501149643,396.8834703,Kharif
BENGALURU,2006,7340,14919,44,46,10,26.12531385,62.75938109,7.12682718,414.4734668,Kharif
BENGALURU,2006,7340,14919,47,31,22,29.20486113,70.96287787,7.154018336,220.2670649,Kharif
BENGALURU,1998,5124,14255,48,41,11,25.89432311,86.92987617,6.10469143,333.091223,Kharif
BENGALURU,2003,5850,13878,50,41,9,34.74140829,73.75157785,6.473208641,405.7583896,Kharif
BENGALURU,2003,5850,13878,41,51,8,31.21912693,60.44679889,6.735037278,287.9581613,Kharif
BENGALURU,2002,5722,12953,49,37,14,32.87937867,66.44189468,7.198924973,403.5788024,Kharif
BENGALURU,2000,4483,12073,56,38,6,30.14329992,78.08347139,6.743989647,266.0094855,Kharif
BENGALURU,1997,3507,11033,51,34,15,30.35321086,71.23531449,6.428149057,211.1691428,Kharif
BENGALURU,1999,4551,10649,53,38,9,33.98833444,69.44004113,7.193947575,328.4653455,Kharif
BENGALURU,2004,2778,8577.08,49,41,10,26.1911459,67.96259246,7.372010954,100.0628893,Kharif
BENGALURU,2008,1782,7753.48,52,39,9,30.7606273,69.37445478,7.244554265,199.0579052,Kharif
BENGALURU,2008,1782,7753.48,54,38,8,34.96942119,70.02387277,6.203495702,462.3173355,Kharif
BENGALURU,2001,3753,7313,56,38,6,29.20486113,70.96287787,7.154018336,220.2670649,Kharif
BENGALURU,2009,1525,6751.18,56,37,7,29.62321842,64.78382679,7.210374386,101.5140469,Kharif
BENGALURU,2009,1525,6751.18,53,40,7,31.71650354,72.87167767,6.271675241,446.4680988,Kharif
BENGALURU,2005,2496,6528,46,34,20,26.18344455,66.81457432,6.498868219,416.1247321,Kharif
BENGALURU,2007,1990,5928,40,55,5,26.55297823,83.20342017,7.440815799,418.5874147,Kharif
BENGALURU,2007,1990,5928,59,35,6,29.17690618,73.90289721,6.711124144,225.6145066,Kharif
BENGALURU,2008,1652,5022.08,41,38,21,33.59661319,63.08016471,6.516362802,424.1140483,Kharif
BENGALURU,2011,1410,4853,43,39,18,34.87642755,71.10974584,6.488288977,307.6601924,Kharif
BENGALURU,2011,1460,4836,45,46,9,31.06117708,74.81352176,7.066618154,239.74586,Kharif
BENGALURU,2002,2393,4836,45,32,23,27.36398921,77.83530969,6.704963338,423.5757588,Kharif
BENGALURU,2011,1460,4836,43,47,10,30.05869479,77.99424226,6.237914595,468.488471,Kharif
BENGALURU,2007,1523,4752,54,30,16,25.63294992,88.91331106,6.799541553,426.7772474,Kharif
BENGALURU,2003,2213,4667,53,39,8,30.7284167,87.79182883,6.028154669,345.4121369,Kharif
BENGALURU,2010,1531,4486,56,39,5,30.94144775,79.3702285,6.015094405,294.9142186,Kharif
BENGALURU,2010,1531,4486,49,44,7,32.42150233,80.04324721,6.193642811,430.3865791,Kharif
BENGALURU,2009,1594,4361.18,40,52,8,29.21063014,73.69450202,6.387730386,189.3312981,Kharif
BENGALURU,2010,1495,4258,42,31,27,30.05869479,77.99424226,6.237914595,468.488471,Kharif
BENGALURU,2013,1113,3941,42,45,13,26.65616579,73.10556327,7.238600554,303.5331364,Kharif
BENGALURU,2006,1315,3537,48,45,7,33.49097245,87.06963425,7.016058994,105.3834271,Kharif
BENGALURU,2014,950,3374,58,30,12,25.41930292,84.8639812,7.05745886,209.1782755,Kharif
BENGALURU,2012,974,3006,52,42,6,26.14536714,69.5265516,6.049057544,287.5748914,Kharif
BENGALURU,2012,963,2796,52,35,13,31.20534605,64.8811086,7.308950836,200.4011655,Kharif
BENGALURU,2012,963,2796,52,40,8,25.90562119,64.89941304,7.175435089,379.7513357,Kharif
BENGALURU,2013,685,2197,55,34,11,26.75346808,70.66481497,6.218132301,176.6644933,Kharif
BENGALURU,2013,685,2197,48,30,22,30.94144775,79.3702285,6.015094405,294.9142186,Kharif
BENGALURU,2014,598,2093,51,44,5,31.18756135,89.22191226,6.106904202,444.656833,Kharif
BENGALURU,2014,598,2093,40,53,7,26.25290547,79.07342253,6.253447029,448.0726529,Kharif
BENGALURU,1999,7949,21764,47,40,13,23.85724032,82.22572988,7.382762603,195.0948311,Rabi
BENGALURU,1998,6662,21506,59,34,7,20.0454142,80.3477562,6.766240045,208.5810155,Rabi
BENGALURU,2000,6887,18490,45,44,11,21.97199397,81.89918197,5.658169482,227.3637009,Rabi
BENGALURU,1997,4350,12398,50,35,15,23.43121862,83.06310136,5.286203711,219.9048349,Rabi
BENGALURU,2001,3073,7891,43,43,14,26.22916897,83.83625819,5.543360238,286.5083725,Rabi
BENGALURU,2005,2094,6511,58,37,5,20.2801937,82.1235421,7.236705436,191.9535738,Rabi
BENGALURU,2004,800,3579,44,32,24,24.44345477,82.45432595,5.950647577,267.9761948,Rabi
BENGALURU,2003,481,1920,56,35,9,25.65553461,83.47021081,7.120272972,217.3788583,Rabi
BENGALURU,1999,812,1729,46,37,17,21.77046169,80.31964408,7.038096361,226.6555374,Rabi
BENGALURU,2000,715,1532,48,35,17,23.00445915,82.3207629,7.840207144,263.9642476,Rabi
BENGALURU,2008,439,1326,46,42,12,25.75528612,83.51827127,5.875345751,245.6626799,Rabi
BENGALURU,2002,431,1192,53,33,14,23.44676801,84.79352417,6.215109715,283.9338466,Rabi
BENGALURU,2003,240,711,43,34,23,23.05804872,83.37011772,7.073453503,251.0549998,Rabi
BENGALURU,2006,706,545,57,38,5,21.7238313,80.2389895,6.501697816,277.9626192,Rabi
BENGALURU,2011,153,521,45,48,7,20.08369642,83.29114712,5.739175027,263.6372176,Rabi
BENGALURU,2010,155,501,56,30,14,21.84106875,80.72886384,6.946209881,202.3838319,Rabi
BENGALURU,2013,137,463,51,36,13,21.14347496,80.33502926,5.594819626,198.6730942,Rabi
BENGALURU,2009,139,425,53,35,12,20.61521424,83.77345559,6.932400225,279.5451717,Rabi
BENGALURU,1997,195,422,46,37,17,20.87974371,82.00274423,6.502985292,202.9355362,Rabi
BENGALURU,2001,169,324,47,35,18,26.49109635,80.15836264,6.980400905,242.8640342,Rabi
BENGALURU,2007,100,305,43,45,12,20.41447029,82.20802629,7.592490617,245.1511304,Rabi
BENGALURU,2014,49,150,42,35,23,35.78720567,92.11124033,6.946636369,243.5120414,Rabi
BENGALURU,2012,42,101,54,32,14,21.0525355,82.67839517,6.254028451,233.1075816,Rabi
BENGALURU,2002,32,67,40,35,25,20.13017482,81.60487287,7.628472891,262.7173405,Rabi
BENGALURU,2012,13,41,57,37,6,24.45802087,82.74835604,6.738652179,182.5616319,Rabi
BENGALURU,2005,18,40,60,34,6,20.27774362,82.89408619,5.718627178,241.9741949,Rabi
BENGALURU,2007,16,35,23,37,40,23.22397386,83.03322691,6.336253525,221.2091958,Rabi
BENGALURU,2006,13,30,47,37,16,24.51588066,83.5352163,6.685346424,230.4462359,Rabi
BENGALURU,2008,12,26,56,39,5,26.52723513,81.41753846,5.386167788,264.6148697,Rabi
BENGALURU,1999,12,26,56,30,14,25.15745531,83.11713476,5.070175667,231.3843163,Rabi
BENGALURU,2004,5,17,46,43,11,22.70883798,82.63941394,5.70080568,271.3248604,Rabi
BENGALURU,2003,5,15,48,43,9,21.94766735,80.97384195,6.012632591,213.3560921,Rabi
BENGALURU,2013,4,10,53,35,12,23.48381344,81.33265073,7.375482851,224.0581164,Rabi
BENGALURU,2009,3,7,45,50,5,23.97898217,81.45061596,7.50283396,250.0832336,Rabi
BENGALURU,1998,14305,39567,43,40,17,25.31173533,73.6822833,6.582823493,183.9762806,Summer
BENGALURU,2000,14828,37089,57,32,11,27.3494979,67.27777454,6.424206612,453.999228,Summer
BENGALURU,1999,11541,32410,40,39,21,31.26041636,84.49589575,6.910253244,207.4008627,Summer
BENGALURU,2001,11067,28322,60,32,8,31.35973467,80.06208543,6.233114674,363.6669035,Summer
BENGALURU,1997,11240,26256,43,39,18,32.24697293,86.38037691,6.618760916,448.6350451,Summer
BENGALURU,2002,5722,12953,55,30,15,32.24697293,86.38037691,6.618760916,448.6350451,Summer
BENGALURU,1999,2350,7289,57,34,9,29.13182509,71.17385817,7.306325084,467.0765666,Summer
